id,total_amount,status
019f3fc9-13d0-707d-8fce-ae83d244a0e4,137000.00,completed
019f3fc9-1f44-7852-a473-a21b10544e96,11000.00,completed
019f3fc9-24fe-7e86-950f-859d78b75504,28500.00,completed
019f3fc9-2ab8-7e3b-ad37-4bf5377aba23,48000.00,pending
019f3fc9-362c-7e90-9ba3-f96892ca00ea,194000.00,pending
019f3fc9-41a0-76e2-bcbe-5c0a1680c571,18000.00,failed
019f3fc9-475a-76b6-8a29-1f6846b164c4,13000.00,completed
019f3fc9-4d14-7a00-b3c8-cf9dafcf3eb5,43000.00,completed
019f3fc9-55ab-72a9-83d6-0e13a0fe5f19,14500.00,completed
019f3fc9-5e42-738d-b593-702c41280122,20000.00,completed
019f3fc9-63fc-74d2-b160-8a591a82c04a,84000.00,pending
019f3fc9-69b6-7516-b034-84117aea561b,126000.00,pending
019f3fc9-752a-7759-89c5-1cae17d39051,22000.00,failed
019f3fc9-7dc1-7bd8-b447-e53b76c37126,260000.00,completed
019f3fc9-8935-7d90-a987-9df071aaf362,39500.00,completed
019f3fc9-94a9-79de-bcc1-09c7cb2e716b,41500.00,completed
